Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
1725, 0, 0.473279, 2.97833, -0.256434, 0.0179929, 0.0398759, 0.00937189, -0.145356, 33.5165, 0.476214
1727, 0, -1.37659, 5.06877, 0.115684, 0.0184795, 0.0242356, 0.00821409, -0.127694, 60.157, 0.336917
1731, 0, 0.836694, 5.19268, -0.148735, 0.0187876, 0.0200828, 0.00735775, -0.0707978, 596.398, 0.257667
1734, 0, 0.761974, 0.865042, 0.0779173, 0.0189986, 0.0313466, -0.0405453, 0.0860204, 200.18, 0.213057
1737, 0, 0.887396, 0.327556, -0.0597776, 0.0187065, 0.0193172, -0.00883537, -0.157764, 103.501, 0.409941
1743, 0, -0.646608, 5.76754, -0.145109, 0.0193483, 0.0198916, 0.0315741, -0.0698137, 489.38, 0.128337
1746, 0, -0.477383, 0.101443, 0.299404, 0.0195001, 0.0199326, -0.0220671, 0.0246209, 494.06, 0.858639
1759, 0, 0.899277, 0.364649, 0.00356393, 0.0238526, 0.0250282, -0.00837127, -0.110012, 81.2036, 1.17949
1759, 1, 0.88765, 0.365709, 0.173962, 0.0245395, 0.0258394, 0.0496819, -0.0917039, 66.8484, 0.229455
1760, 0, -0.148488, 0.794309, -0.057173, 0.0216031, 0.0183593, 0.022719, -0.124069, 44.459, 1.08051
1766, 0, 0.946393, 1.37685, -0.206166, 0.0192087, 0.0196989, -0.0139506, -0.138704, 41.6998, 1.3238
1768, 0, 0.453489, 3.81591, -0.0108232, 0.0188577, 0.0189389, -0.0181449, -0.0923561, 64.0215, 0.15532
1781, 0, -0.23965, 0.0758684, -0.254988, 0.0222139, 0.0185427, -0.0312702, 0.0443719, 22.3257, 0.778875
1789, 0, 0.507484, 6.05798, 0.20901, 0.0183527, 0.0198481, 0.00131935, 0.020266, 117.443, 0.54598
1792, 0, 1.35829, 0.568987, 0.0585023, 0.0184866, 0.020435, 0.000442033, -0.111755, 397.773, 0.302411
1795, 0, 1.23819, 2.41925, 0.151436, 0.0199892, 0.0312455, -0.012935, -0.0472771, 469.714, 0.328283
1796, 0, 0.544898, 3.23046, 0.131633, 0.0190014, 0.023233, -0.0595253, -0.0276342, 111.005, 0.397859
17, 0, 0.0457048, 5.25641, 0.100586, 0.0194286, 0.020054, 0.0223195, -0.184011, 429.615, 0.582612
1802, 0, -0.821577, 5.62711, 0.00796855, 0.0188126, 0.0283376, -0.0786454, -0.0376767, 735.771, 0.230239
1807, 0, -0.871489, 3.01044, 0.25975, 0.0188466, 0.0730767, -0.209337, -0.113761, 43.5474, 1.17773
1810, 0, 0.781863, 4.87398, 0.272227, 0.0182817, 0.0193643, 0.00112683, -0.00200519, 60.1579, 0.377539
1811, 0, -0.460567, 2.79964, -0.421345, 0.0232707, 0.0203106, -0.171981, 0.0828622, 11.9564, 1.21355
1819, 0, 0.431037, 0.496235, 0.133446, 0.0187618, 0.0184259, 0.00748468, 0.0702962, 95.4002, 0.231162
1822, 0, 0.232044, 0.685501, -0.0717524, 0.019943, 0.0197405, -0.0290418, 0.109224, 281.253, 0.714595
